"Exogenous_Variable","Holdout_RMSE"
"crudeheat_lag1 with ARIMA(2,0,1) on residuals",0.0232
"crude_lag1 with ARIMA(4,1,3) on residuals",0.0233
"crude_lag1 with ARIMA(3,0,3) on residuals",0.0233
"crudeheat_lag1 with ARIMA(4,1,3) on residuals",0.0233
"crudeheat_lag1 with ARIMA(3,0,3) on residuals",0.0233
"crude_lag1 with ARIMA(2,0,1) on residuals",0.0234
"crudeheat_lag1 with ARIMA(2,0,2) on residuals",0.0234
"crudeheat_lag1 with ARIMA(3,0,2) on residuals",0.0234
"crudeheat_lag1 with ARIMA(2,0,3) on residuals",0.0234
"heat_lag1 with ARIMA(2,0,1) on residuals",0.0235
"crude_lag1 with ARIMA(2,0,2) on residuals",0.0235
"crude_lag1 with ARIMA(3,0,2) on residuals",0.0235
"crude_lag1 with ARIMA(2,0,3) on residuals",0.0235
"heat_lag1 with ARIMA(4,1,3) on residuals",0.0236
"heat_lag1 with ARIMA(3,0,3) on residuals",0.0236
"heat_lag1 with ARIMA(2,0,2) on residuals",0.0237
"heat_lag1 with ARIMA(3,0,2) on residuals",0.0237
"heat_lag1 with ARIMA(2,0,3) on residuals",0.0237
"crude_lag1 with ARIMA(3,1,3) on residuals",0.0237
"crudeheat_lag1 with ARIMA(3,1,3) on residuals",0.0237
"crude_lag1 with ARIMA(3,1,1) on residuals",0.0238
"crudeheat_lag1 with ARIMA(3,1,1) on residuals",0.0238
"crude_lag1 with ARIMA(3,1,2) on residuals",0.024
"crudeheat_lag1 with ARIMA(3,1,2) on residuals",0.024
"heat_lag1 with ARIMA(3,1,3) on residuals",0.0241
"heat_lag1 with ARIMA(3,1,1) on residuals",0.0242
"heat_lag1 with ARIMA(3,1,2) on residuals",0.0243
