"Model","Holdout_RMSE"
"ARIMA(4,1,3)(1,0,0)[26]",0.0232
"ARIMA(4,1,3)(1,0,0)[52]",0.0232
"ARIMA(4,1,3)(1,0,1)[26]",0.0233
"ARIMA(4,1,3)(1,0,1)[52]",0.0236
"ARIMA(3,1,2)(1,0,0)[52]",0.024
"ARIMA(1,1,0)(1,0,0)[26]",0.0242
"ARIMA(1,1,0)(1,0,0)[52]",0.0242
"ARIMA(3,1,2)(1,0,1)[52]",0.0243
"ARIMA(0,1,1)(0,0,1)[26]",0.0259
"ARIMA(0,1,1)(0,0,1)[52]",0.026
"ARIMA(3,0,2)(1,1,0)[26]",0.0283
"ARIMA(2,0,1)(1,1,0)[26]",0.0285
"ARIMA(4,0,3)(1,1,0)[26]",0.029
"ARIMA(2,0,1)(1,1,0)[52]",0.0296
"ARIMA(4,0,3)(1,1,0)[52]",0.0296
"ARIMA(3,0,2)(1,1,0)[52]",0.0297
"ARIMA(1,0,1)(1,1,0)[52]",0.0317
